Year,Student Name,School,Class,Subject,Prelim Result,PSLE Result
2023,Goh Jun Wei 759,Yumin Primary School,P6-3,Chinese Language,93/100,93/100
2024,Vignesh S/O Rajan 431,Catholic High School (Primary),P6-3,Foundation Tamil Language,74/100,79/100
2024,Lim Jia Hao 948,Gongshang Primary School,P6-2,Foundation Chinese Language,88/100,87/100
2024,Ng Zi Xuan 556,Henry Park Primary School,P6-2,Chinese Language,90/100,87/100
2023,Sivakumar Raj 616,Gongshang Primary School,P6-1,Higher Tamil Language,62/100,61/100
2024,Suresh S/O Raj 361,St Joseph’s Institution Junior,P6-3,Foundation Tamil Language,51/100,52/100
2023,Nurul Huda 286,CHIJ St Nicholas Girls’ School,P6-3,Malay Language,63/100,68/100
2022,Suresh S/O Raj 660,Ai Tong School,P6-3,Higher Tamil Language,50/100,47/100
2022,Tan Wei Ling 128,Red Swastika School,P6-1,Higher Chinese Language,89/100,93/100
2022,Nurul Huda 315,Rosyth School,P6-3,Higher Malay Language,54/100,59/100
2023,Sivakumar Raj 753,Raffles Girls' Primary School,P6-2,Foundation Tamil Language,65/100,60/100
2024,Priya D/O Kumar 849,CHIJ St Nicholas Girls’ School,P6-3,Tamil Language,93/100,88/100
2024,Deepa D/O Muthu 440,Pei Hwa Presbyterian Primary School,P6-1,Tamil Language,66/100,62/100
2024,Chen Qi En 400,Nan Hua Primary School,P6-2,Chinese Language,52/100,47/100
2022,Muhd Irfan 810,Raffles Girls' Primary School,P6-1,Malay Language,73/100,75/100
2023,Nurul Huda 251,Nan Hua Primary School,P6-2,Malay Language,66/100,69/100
2023,Sivakumar Raj 639,Maris Stella Primary School,P6-2,Tamil Language,79/100,77/100
2022,Lim Jia Hao 141,Ai Tong School,P6-3,Foundation Chinese Language,95/100,95/100
2023,Ahmad Hakim 639,Anglo-Chinese School (Primary),P6-2,Foundation Malay Language,51/100,53/100
2024,Ong Shu Fen 588,St Joseph’s Institution Junior,P6-1,Higher Chinese Language,70/100,70/100
2022,Siti Aminah 186,Temasek Primary School,P6-1,Higher Malay Language,62/100,60/100
2024,Imran Bin Azmi 758,St Joseph’s Institution Junior,P6-2,Foundation Malay Language,60/100,59/100
2023,Mohammad Firdaus 971,CHIJ St Nicholas Girls’ School,P6-1,Malay Language,84/100,82/100
2024,Vignesh S/O Rajan 858,Pei Chun Public School,P6-3,Tamil Language,87/100,87/100
2023,Siti Aminah 549,Henry Park Primary School,P6-3,Malay Language,77/100,77/100
2022,Goh Jun Wei 903,Catholic High School (Primary),P6-3,Chinese Language,80/100,81/100
2022,Ong Shu Fen 717,Red Swastika School,P6-3,Chinese Language,92/100,96/100
2023,Nurul Huda 758,Catholic High School (Primary),P6-3,Malay Language,50/100,47/100
2023,Deepa D/O Muthu 483,Rosyth School,P6-3,Higher Tamil Language,82/100,77/100
2023,Deepa D/O Muthu 869,Temasek Primary School,P6-3,Foundation Tamil Language,84/100,82/100
2023,Lim Jia Hao 866,Temasek Primary School,P6-2,Higher Chinese Language,73/100,76/100
2023,Chua Kai Wen 815,Catholic High School (Primary),P6-3,Higher Chinese Language,89/100,89/100
2024,Chua Kai Wen 341,Tao Nan School,P6-3,Foundation Chinese Language,54/100,50/100
2022,Tan Wei Ling 523,Nan Hua Primary School,P6-3,Foundation Chinese Language,57/100,60/100
2022,Mohammad Firdaus 404,Nan Hua Primary School,P6-1,Foundation Malay Language,81/100,83/100
2022,Suresh S/O Raj 768,Princess Elizabeth Primary School,P6-2,Higher Tamil Language,74/100,75/100
2022,Aqil Zulkarnain 893,Pei Hwa Presbyterian Primary School,P6-2,Foundation Malay Language,72/100,70/100
2022,Chen Qi En 128,Gongshang Primary School,P6-1,Foundation Chinese Language,67/100,71/100
2023,Sivakumar Raj 813,Catholic High School (Primary),P6-1,Foundation Tamil Language,86/100,83/100
2024,Lakshmi D/O Kumar 542,Ai Tong School,P6-1,Higher Tamil Language,63/100,63/100
2022,Hafiz Bin Rahman 777,Rosyth School,P6-2,Foundation Malay Language,70/100,70/100
2022,Karthik S/O Ramesh 675,Raffles Girls' Primary School,P6-1,Foundation Tamil Language,60/100,56/100
2024,Nur Aisyah 206,Rosyth School,P6-3,Higher Malay Language,71/100,71/100
2023,Siti Aminah 221,Tao Nan School,P6-1,Foundation Malay Language,72/100,77/100
2024,Mohammad Firdaus 508,Tao Nan School,P6-3,Malay Language,67/100,62/100
2024,Ong Shu Fen 160,Princess Elizabeth Primary School,P6-3,Higher Chinese Language,53/100,53/100
2022,Priya D/O Kumar 133,Raffles Girls' Primary School,P6-2,Foundation Tamil Language,77/100,80/100
2023,Goh Jun Wei 160,Ai Tong School,P6-1,Foundation Chinese Language,77/100,74/100
2024,Anand S/O Murugan 644,Henry Park Primary School,P6-3,Higher Tamil Language,67/100,69/100
2024,Aqil Zulkarnain 352,Catholic High School (Primary),P6-2,Malay Language,82/100,86/100
2022,Imran Bin Azmi 547,Ai Tong School,P6-1,Higher Malay Language,84/100,83/100
2024,Nurul Huda 548,Temasek Primary School,P6-2,Higher Malay Language,60/100,65/100
2023,Ong Shu Fen 304,Temasek Primary School,P6-3,Foundation Chinese Language,62/100,60/100
2024,Suresh S/O Raj 988,Ai Tong School,P6-1,Tamil Language,93/100,93/100
2024,Mohammad Firdaus 679,Gongshang Primary School,P6-1,Foundation Malay Language,77/100,74/100
2022,Goh Jun Wei 829,Nanyang Primary School,P6-3,Foundation Chinese Language,72/100,68/100
2023,Muhd Irfan 373,Tao Nan School,P6-3,Foundation Malay Language,60/100,62/100
2023,Lim Jia Hao 160,CHIJ St Nicholas Girls’ School,P6-1,Foundation Chinese Language,63/100,60/100
2022,Meena D/O Ravi 952,Anglo-Chinese School (Primary),P6-1,Foundation Tamil Language,74/100,75/100
2024,Lim Jia Hao 580,Ai Tong School,P6-3,Chinese Language,73/100,73/100
2023,Anand S/O Murugan 553,Catholic High School (Primary),P6-2,Foundation Tamil Language,67/100,62/100
2022,Chen Qi En 769,Tao Nan School,P6-1,Foundation Chinese Language,91/100,92/100
2023,Wong Yu Ting 971,West Grove Primary School,P6-2,Foundation Chinese Language,84/100,79/100
2024,Vignesh S/O Rajan 528,Anglo-Chinese School (Primary),P6-3,Foundation Tamil Language,78/100,75/100
2022,Mohammad Firdaus 883,Pei Hwa Presbyterian Primary School,P6-2,Higher Malay Language,85/100,87/100
2024,Muhd Irfan 590,Temasek Primary School,P6-3,Foundation Malay Language,58/100,59/100
2024,Chen Qi En 613,Ai Tong School,P6-2,Foundation Chinese Language,93/100,91/100
2023,Meena D/O Ravi 204,Pei Hwa Presbyterian Primary School,P6-3,Tamil Language,64/100,65/100
2023,Aqil Zulkarnain 489,Red Swastika School,P6-3,Foundation Malay Language,95/100,92/100
2023,Ainul Zafira 439,Henry Park Primary School,P6-3,Higher Malay Language,90/100,92/100
2024,Chen Qi En 198,CHIJ St Nicholas Girls’ School,P6-1,Foundation Chinese Language,50/100,55/100
2022,Suresh S/O Raj 490,Nanyang Primary School,P6-1,Tamil Language,92/100,94/100
2022,Deepa D/O Muthu 980,Nanyang Primary School,P6-1,Tamil Language,67/100,64/100
2024,Aqil Zulkarnain 566,Pei Hwa Presbyterian Primary School,P6-1,Malay Language,79/100,84/100
2024,Nurul Huda 604,Pei Chun Public School,P6-2,Malay Language,80/100,85/100
2023,Arunasarawasthy 598,Tao Nan School,P6-3,Higher Tamil Language,63/100,59/100
2022,Priya D/O Kumar 466,Catholic High School (Primary),P6-1,Tamil Language,65/100,70/100
2023,Deepa D/O Muthu 341,Yumin Primary School,P6-1,Higher Tamil Language,53/100,57/100
2023,Sivakumar Raj 710,St Joseph’s Institution Junior,P6-3,Foundation Tamil Language,83/100,87/100
2022,Lee Hui Min 401,Pei Hwa Presbyterian Primary School,P6-1,Foundation Chinese Language,52/100,53/100
2023,Arunasarawasthy 351,Tao Nan School,P6-1,Foundation Tamil Language,93/100,94/100
2022,Ahmad Hakim 826,Red Swastika School,P6-2,Malay Language,91/100,86/100
2022,Wong Yu Ting 993,Pei Hwa Presbyterian Primary School,P6-2,Higher Chinese Language,77/100,80/100
2022,Tan Wei Ling 604,Red Swastika School,P6-3,Foundation Chinese Language,76/100,75/100
2023,Mohammad Firdaus 993,Nanyang Primary School,P6-2,Malay Language,90/100,86/100
2022,Anand S/O Murugan 159,CHIJ St Nicholas Girls’ School,P6-1,Foundation Tamil Language,54/100,51/100
2024,Priya D/O Kumar 903,Tao Nan School,P6-2,Higher Tamil Language,70/100,66/100
2023,Lee Hui Min 279,CHIJ St Nicholas Girls’ School,P6-1,Foundation Chinese Language,84/100,87/100
2024,Meena D/O Ravi 585,Princess Elizabeth Primary School,P6-3,Tamil Language,88/100,87/100
2022,Ainul Zafira 123,St Joseph’s Institution Junior,P6-3,Malay Language,77/100,79/100
2024,Siti Aminah 110,West Grove Primary School,P6-1,Foundation Malay Language,53/100,48/100
2023,Mohammad Firdaus 347,Nan Hua Primary School,P6-3,Foundation Malay Language,83/100,78/100
2024,Meena D/O Ravi 705,Tao Nan School,P6-3,Tamil Language,52/100,52/100
2023,Lim Jia Hao 958,CHIJ St Nicholas Girls’ School,P6-3,Higher Chinese Language,62/100,67/100
2024,Ng Zi Xuan 209,Maris Stella Primary School,P6-2,Foundation Chinese Language,50/100,47/100
2022,Teo Wen Jie 112,West Grove Primary School,P6-3,Foundation Chinese Language,95/100,97/100
2022,Lee Hui Min 734,Catholic High School (Primary),P6-3,Higher Chinese Language,67/100,69/100
2023,Ahmad Hakim 558,Nanyang Primary School,P6-3,Higher Malay Language,95/100,95/100
2022,Tan Wei Ling 398,Tao Nan School,P6-1,Higher Chinese Language,54/100,59/100
2022,Arunasarawasthy 970,Anglo-Chinese School (Primary),P6-2,Higher Tamil Language,92/100,88/100
2023,Sivakumar Raj 908,Gongshang Primary School,P6-2,Higher Tamil Language,53/100,52/100
2023,Chen Qi En 531,Tao Nan School,P6-1,Chinese Language,91/100,90/100
2023,Chen Qi En 158,Red Swastika School,P6-2,Chinese Language,86/100,87/100
2022,Vignesh S/O Rajan 562,Maris Stella Primary School,P6-2,Foundation Tamil Language,78/100,74/100
2024,Chua Kai Wen 864,Princess Elizabeth Primary School,P6-1,Foundation Chinese Language,68/100,72/100
2024,Wong Yu Ting 603,Pei Chun Public School,P6-3,Foundation Chinese Language,74/100,77/100
2023,Ng Zi Xuan 180,Anglo-Chinese School (Primary),P6-2,Foundation Chinese Language,78/100,76/100
2022,Aqil Zulkarnain 873,Pei Hwa Presbyterian Primary School,P6-3,Foundation Malay Language,68/100,71/100
2024,Goh Jun Wei 960,West Grove Primary School,P6-1,Chinese Language,53/100,55/100
2022,Meena D/O Ravi 370,West Grove Primary School,P6-1,Higher Tamil Language,80/100,77/100
2024,Lakshmi D/O Kumar 595,West Grove Primary School,P6-3,Foundation Tamil Language,73/100,69/100
2023,Ahmad Hakim 521,Catholic High School (Primary),P6-3,Malay Language,51/100,48/100
2024,Mohammad Firdaus 557,Temasek Primary School,P6-3,Malay Language,73/100,68/100
2023,Wong Yu Ting 849,Nan Hua Primary School,P6-1,Higher Chinese Language,57/100,56/100
2024,Ong Shu Fen 792,CHIJ St Nicholas Girls’ School,P6-2,Chinese Language,93/100,98/100
2024,Ahmad Hakim 543,Tao Nan School,P6-1,Foundation Malay Language,68/100,65/100
2024,Deepa D/O Muthu 528,Temasek Primary School,P6-1,Higher Tamil Language,57/100,59/100
2022,Nurul Huda 507,Henry Park Primary School,P6-2,Malay Language,53/100,51/100
2024,Arunasarawasthy 633,Raffles Girls' Primary School,P6-2,Higher Tamil Language,66/100,67/100
2023,Aqil Zulkarnain 911,Anglo-Chinese School (Primary),P6-3,Malay Language,80/100,75/100
2022,Lee Hui Min 719,Pei Hwa Presbyterian Primary School,P6-1,Foundation Chinese Language,87/100,92/100
2024,Suresh S/O Raj 105,Nan Hua Primary School,P6-3,Higher Tamil Language,71/100,69/100
2024,Deepa D/O Muthu 922,Princess Elizabeth Primary School,P6-1,Higher Tamil Language,69/100,64/100
2023,Teo Wen Jie 430,Tao Nan School,P6-3,Foundation Chinese Language,67/100,67/100
2024,Wong Yu Ting 122,Anglo-Chinese School (Primary),P6-2,Foundation Chinese Language,75/100,79/100
2022,Chen Qi En 360,Catholic High School (Primary),P6-1,Higher Chinese Language,68/100,73/100
2023,Teo Wen Jie 537,St Joseph’s Institution Junior,P6-1,Chinese Language,63/100,59/100
2023,Vignesh S/O Rajan 673,West Grove Primary School,P6-3,Higher Tamil Language,50/100,55/100
2024,Lee Hui Min 462,Raffles Girls' Primary School,P6-1,Foundation Chinese Language,65/100,69/100
2023,Suresh S/O Raj 716,Ai Tong School,P6-3,Higher Tamil Language,56/100,57/100
2024,Mohammad Firdaus 153,Catholic High School (Primary),P6-3,Higher Malay Language,74/100,69/100
2022,Nurul Huda 881,St Joseph’s Institution Junior,P6-1,Foundation Malay Language,91/100,95/100
2023,Vignesh S/O Rajan 782,West Grove Primary School,P6-3,Tamil Language,55/100,53/100
2023,Lakshmi D/O Kumar 566,CHIJ St Nicholas Girls’ School,P6-1,Foundation Tamil Language,92/100,88/100
2023,Muhd Irfan 966,Raffles Girls' Primary School,P6-3,Foundation Malay Language,59/100,63/100
2024,Arunasarawasthy 391,CHIJ St Nicholas Girls’ School,P6-2,Foundation Tamil Language,55/100,52/100
2022,Siti Aminah 910,Nan Hua Primary School,P6-1,Foundation Malay Language,74/100,74/100
2022,Lee Hui Min 365,CHIJ St Nicholas Girls’ School,P6-2,Higher Chinese Language,51/100,54/100
2024,Ahmad Hakim 439,Raffles Girls' Primary School,P6-3,Foundation Malay Language,79/100,80/100
2024,Karthik S/O Ramesh 905,St Joseph’s Institution Junior,P6-1,Tamil Language,70/100,69/100
2022,Karthik S/O Ramesh 680,West Grove Primary School,P6-1,Foundation Tamil Language,52/100,50/100
2024,Nur Aisyah 389,Pei Hwa Presbyterian Primary School,P6-2,Foundation Malay Language,94/100,92/100
2023,Lim Jia Hao 252,Princess Elizabeth Primary School,P6-3,Foundation Chinese Language,62/100,63/100
2024,Lee Hui Min 349,Princess Elizabeth Primary School,P6-1,Higher Chinese Language,81/100,81/100
2023,Lim Jia Hao 279,Pei Chun Public School,P6-1,Higher Chinese Language,69/100,64/100
2023,Ahmad Hakim 474,Princess Elizabeth Primary School,P6-2,Foundation Malay Language,58/100,61/100
2023,Nurul Huda 418,Ai Tong School,P6-1,Malay Language,84/100,84/100
2023,Lim Jia Hao 773,Yumin Primary School,P6-3,Foundation Chinese Language,83/100,82/100
2022,Sivakumar Raj 213,Henry Park Primary School,P6-3,Tamil Language,90/100,92/100
2023,Hafiz Bin Rahman 474,Nan Hua Primary School,P6-1,Foundation Malay Language,59/100,55/100
2022,Lim Jia Hao 166,Catholic High School (Primary),P6-3,Higher Chinese Language,54/100,51/100
2022,Hafiz Bin Rahman 683,Anglo-Chinese School (Primary),P6-1,Malay Language,84/100,84/100
2023,Muhd Irfan 419,Anglo-Chinese School (Primary),P6-2,Higher Malay Language,55/100,55/100
2023,Meena D/O Ravi 210,Gongshang Primary School,P6-3,Tamil Language,57/100,59/100
2024,Tan Wei Ling 288,Pei Hwa Presbyterian Primary School,P6-2,Higher Chinese Language,59/100,61/100
2022,Nur Aisyah 269,Temasek Primary School,P6-1,Higher Malay Language,92/100,87/100
2022,Lim Jia Hao 545,Ai Tong School,P6-2,Chinese Language,87/100,91/100
2022,Tan Wei Ling 287,Henry Park Primary School,P6-3,Foundation Chinese Language,61/100,58/100
2022,Siti Aminah 882,Catholic High School (Primary),P6-1,Foundation Malay Language,52/100,55/100
2023,Goh Jun Wei 439,Yumin Primary School,P6-3,Chinese Language,54/100,49/100
2023,Priya D/O Kumar 704,Henry Park Primary School,P6-2,Higher Tamil Language,84/100,79/100
2024,Vignesh S/O Rajan 726,Yumin Primary School,P6-2,Foundation Tamil Language,72/100,70/100
2024,Arunasarawasthy 320,Catholic High School (Primary),P6-2,Foundation Tamil Language,52/100,53/100
2024,Muhd Irfan 121,Henry Park Primary School,P6-2,Higher Malay Language,76/100,79/100
2024,Suresh S/O Raj 651,West Grove Primary School,P6-3,Foundation Tamil Language,75/100,80/100
2024,Chen Qi En 729,Henry Park Primary School,P6-1,Higher Chinese Language,72/100,74/100
2022,Nur Aisyah 174,West Grove Primary School,P6-3,Foundation Malay Language,73/100,78/100
2022,Lee Hui Min 293,Anglo-Chinese School (Primary),P6-2,Chinese Language,77/100,73/100
2022,Vignesh S/O Rajan 725,Princess Elizabeth Primary School,P6-3,Tamil Language,58/100,56/100
2024,Anand S/O Murugan 576,Rosyth School,P6-1,Tamil Language,58/100,63/100
2024,Ong Shu Fen 319,Henry Park Primary School,P6-3,Chinese Language,83/100,78/100
2022,Anand S/O Murugan 938,Tao Nan School,P6-3,Foundation Tamil Language,67/100,66/100
2022,Priya D/O Kumar 555,Catholic High School (Primary),P6-2,Foundation Tamil Language,87/100,91/100
2024,Lee Hui Min 310,Anglo-Chinese School (Primary),P6-3,Higher Chinese Language,57/100,61/100
2024,Ahmad Hakim 766,Raffles Girls' Primary School,P6-2,Foundation Malay Language,54/100,59/100
2024,Nurul Huda 227,Anglo-Chinese School (Primary),P6-1,Malay Language,64/100,68/100
2023,Lim Jia Hao 391,Temasek Primary School,P6-3,Foundation Chinese Language,88/100,84/100
2022,Muhd Irfan 902,Rosyth School,P6-3,Foundation Malay Language,68/100,63/100
2023,Siti Aminah 620,Nanyang Primary School,P6-2,Malay Language,74/100,76/100
2022,Lee Hui Min 870,Maris Stella Primary School,P6-2,Foundation Chinese Language,84/100,82/100
2023,Tan Wei Ling 889,Temasek Primary School,P6-2,Chinese Language,68/100,66/100
2022,Ahmad Hakim 612,Maris Stella Primary School,P6-3,Foundation Malay Language,58/100,57/100
2022,Priya D/O Kumar 205,Ai Tong School,P6-3,Higher Tamil Language,54/100,54/100
2022,Lee Hui Min 187,Nanyang Primary School,P6-2,Foundation Chinese Language,94/100,91/100
2022,Siti Aminah 620,Maris Stella Primary School,P6-2,Malay Language,93/100,95/100
2022,Nurul Huda 762,Gongshang Primary School,P6-1,Higher Malay Language,62/100,62/100
2023,Meena D/O Ravi 849,West Grove Primary School,P6-3,Foundation Tamil Language,50/100,48/100
2022,Sivakumar Raj 364,Yumin Primary School,P6-1,Higher Tamil Language,78/100,83/100
2023,Wong Yu Ting 423,West Grove Primary School,P6-1,Foundation Chinese Language,71/100,73/100
2023,Anand S/O Murugan 887,Princess Elizabeth Primary School,P6-2,Tamil Language,92/100,94/100
2023,Goh Jun Wei 712,Raffles Girls' Primary School,P6-2,Chinese Language,92/100,97/100
2024,Chua Kai Wen 869,Red Swastika School,P6-3,Foundation Chinese Language,89/100,91/100
2022,Goh Jun Wei 283,St Joseph’s Institution Junior,P6-1,Chinese Language,75/100,77/100
2023,Anand S/O Murugan 694,Red Swastika School,P6-1,Tamil Language,66/100,64/100
2022,Teo Wen Jie 597,Anglo-Chinese School (Primary),P6-3,Higher Chinese Language,58/100,56/100
2024,Anand S/O Murugan 422,Gongshang Primary School,P6-3,Higher Tamil Language,61/100,64/100
2024,Teo Wen Jie 367,Rosyth School,P6-1,Chinese Language,53/100,56/100
2024,Deepa D/O Muthu 187,Yumin Primary School,P6-2,Tamil Language,85/100,87/100
2023,Meena D/O Ravi 765,Maris Stella Primary School,P6-1,Tamil Language,56/100,51/100
2022,Goh Jun Wei 134,St Joseph’s Institution Junior,P6-2,Higher Chinese Language,76/100,76/100
2022,Goh Jun Wei 151,Princess Elizabeth Primary School,P6-1,Foundation Chinese Language,62/100,64/100
2024,Aqil Zulkarnain 236,Pei Chun Public School,P6-1,Higher Malay Language,65/100,69/100
2023,Ng Zi Xuan 832,Catholic High School (Primary),P6-1,Chinese Language,79/100,76/100
2023,Sivakumar Raj 526,Pei Hwa Presbyterian Primary School,P6-2,Foundation Tamil Language,64/100,67/100
2024,Arunasarawasthy 673,Rosyth School,P6-2,Higher Tamil Language,79/100,75/100
2024,Tan Wei Ling 866,Yumin Primary School,P6-1,Higher Chinese Language,61/100,58/100
2024,Karthik S/O Ramesh 841,Pei Chun Public School,P6-2,Tamil Language,64/100,62/100
2023,Aqil Zulkarnain 929,Ai Tong School,P6-2,Higher Malay Language,64/100,65/100
2022,Suresh S/O Raj 436,Catholic High School (Primary),P6-2,Foundation Tamil Language,59/100,62/100
2024,Suresh S/O Raj 559,St Joseph’s Institution Junior,P6-1,Foundation Tamil Language,94/100,99/100
2024,Imran Bin Azmi 783,Catholic High School (Primary),P6-2,Higher Malay Language,71/100,70/100
2024,Ong Shu Fen 174,Temasek Primary School,P6-3,Chinese Language,90/100,94/100
2022,Deepa D/O Muthu 777,Tao Nan School,P6-2,Higher Tamil Language,84/100,80/100
2022,Nurul Huda 565,Catholic High School (Primary),P6-1,Higher Malay Language,84/100,81/100
2023,Hafiz Bin Rahman 308,Temasek Primary School,P6-1,Higher Malay Language,74/100,73/100
2022,Nur Aisyah 695,Pei Chun Public School,P6-3,Foundation Malay Language,64/100,60/100
2022,Goh Jun Wei 613,Yumin Primary School,P6-2,Chinese Language,92/100,89/100
2023,Ahmad Hakim 720,Pei Chun Public School,P6-2,Foundation Malay Language,73/100,69/100
2023,Ong Shu Fen 352,Red Swastika School,P6-3,Higher Chinese Language,87/100,92/100
2024,Muhd Irfan 475,Anglo-Chinese School (Primary),P6-1,Malay Language,95/100,90/100
2024,Chua Kai Wen 800,Pei Chun Public School,P6-1,Chinese Language,86/100,86/100
2022,Lee Hui Min 774,Pei Hwa Presbyterian Primary School,P6-2,Chinese Language,67/100,67/100
2023,Vignesh S/O Rajan 525,CHIJ St Nicholas Girls’ School,P6-1,Tamil Language,72/100,69/100
2023,Ng Zi Xuan 219,Pei Chun Public School,P6-1,Foundation Chinese Language,68/100,67/100
2023,Ahmad Hakim 641,Rosyth School,P6-1,Malay Language,95/100,98/100
2022,Aqil Zulkarnain 372,Ai Tong School,P6-2,Malay Language,81/100,77/100
2023,Deepa D/O Muthu 497,Temasek Primary School,P6-2,Foundation Tamil Language,55/100,52/100
2022,Karthik S/O Ramesh 656,Gongshang Primary School,P6-1,Tamil Language,81/100,84/100
2024,Ng Zi Xuan 927,Yumin Primary School,P6-3,Chinese Language,75/100,74/100
2024,Priya D/O Kumar 754,Pei Chun Public School,P6-3,Tamil Language,57/100,61/100
2022,Siti Aminah 886,Rosyth School,P6-1,Higher Malay Language,75/100,76/100
2023,Nur Aisyah 621,Ai Tong School,P6-2,Higher Malay Language,89/100,92/100
2022,Siti Aminah 864,Red Swastika School,P6-1,Foundation Malay Language,76/100,76/100
2023,Tan Wei Ling 209,Ai Tong School,P6-3,Chinese Language,58/100,55/100
2022,Aqil Zulkarnain 452,Gongshang Primary School,P6-1,Higher Malay Language,66/100,71/100
2024,Mohammad Firdaus 897,St Joseph’s Institution Junior,P6-2,Foundation Malay Language,89/100,91/100
2024,Lim Jia Hao 602,Pei Chun Public School,P6-2,Chinese Language,79/100,80/100
2023,Goh Jun Wei 145,West Grove Primary School,P6-2,Higher Chinese Language,59/100,61/100
2022,Sivakumar Raj 897,Tao Nan School,P6-2,Tamil Language,67/100,70/100
2023,Suresh S/O Raj 340,Pei Chun Public School,P6-1,Tamil Language,73/100,69/100
2024,Hafiz Bin Rahman 691,Ai Tong School,P6-2,Higher Malay Language,76/100,76/100
2022,Chen Qi En 978,Tao Nan School,P6-3,Foundation Chinese Language,71/100,75/100
2023,Wong Yu Ting 831,Princess Elizabeth Primary School,P6-1,Higher Chinese Language,63/100,58/100
2023,Meena D/O Ravi 666,Gongshang Primary School,P6-3,Higher Tamil Language,59/100,60/100
2023,Siti Aminah 714,St Joseph’s Institution Junior,P6-1,Higher Malay Language,70/100,66/100
2023,Imran Bin Azmi 425,Rosyth School,P6-2,Foundation Malay Language,82/100,86/100
2022,Meena D/O Ravi 864,Tao Nan School,P6-1,Tamil Language,67/100,62/100
2022,Mohammad Firdaus 921,Tao Nan School,P6-1,Foundation Malay Language,69/100,70/100
2022,Muhd Irfan 711,Anglo-Chinese School (Primary),P6-1,Malay Language,92/100,94/100
2024,Lim Jia Hao 176,Rosyth School,P6-1,Foundation Chinese Language,58/100,53/100
2022,Aqil Zulkarnain 357,St Joseph’s Institution Junior,P6-2,Higher Malay Language,61/100,62/100
2023,Muhd Irfan 716,Pei Chun Public School,P6-2,Foundation Malay Language,60/100,63/100
2023,Vignesh S/O Rajan 675,Henry Park Primary School,P6-1,Foundation Tamil Language,90/100,91/100
2024,Ong Shu Fen 652,Maris Stella Primary School,P6-3,Foundation Chinese Language,73/100,68/100
2022,Goh Jun Wei 575,Maris Stella Primary School,P6-3,Higher Chinese Language,69/100,64/100
2022,Ng Zi Xuan 403,Rosyth School,P6-2,Chinese Language,85/100,90/100
2024,Vignesh S/O Rajan 685,Tao Nan School,P6-1,Foundation Tamil Language,53/100,55/100
2024,Nurul Huda 868,Temasek Primary School,P6-3,Foundation Malay Language,61/100,63/100
2023,Vignesh S/O Rajan 207,Anglo-Chinese School (Primary),P6-2,Tamil Language,62/100,59/100
2023,Ainul Zafira 940,Henry Park Primary School,P6-1,Malay Language,78/100,74/100
2024,Suresh S/O Raj 600,Maris Stella Primary School,P6-1,Higher Tamil Language,61/100,60/100
2024,Tan Wei Ling 425,Ai Tong School,P6-3,Foundation Chinese Language,75/100,76/100
2023,Lim Jia Hao 289,Gongshang Primary School,P6-1,Higher Chinese Language,86/100,90/100
2024,Teo Wen Jie 129,Maris Stella Primary School,P6-2,Chinese Language,64/100,68/100
2022,Vignesh S/O Rajan 820,Nanyang Primary School,P6-2,Tamil Language,61/100,66/100
2022,Chua Kai Wen 803,Temasek Primary School,P6-2,Chinese Language,76/100,80/100
2023,Ainul Zafira 877,St Joseph’s Institution Junior,P6-1,Foundation Malay Language,87/100,83/100
2023,Vignesh S/O Rajan 663,Tao Nan School,P6-3,Tamil Language,55/100,57/100
2024,Suresh S/O Raj 592,Princess Elizabeth Primary School,P6-2,Higher Tamil Language,95/100,90/100
2023,Goh Jun Wei 284,Catholic High School (Primary),P6-1,Foundation Chinese Language,79/100,75/100
2022,Arunasarawasthy 485,Catholic High School (Primary),P6-3,Foundation Tamil Language,62/100,65/100
2024,Ainul Zafira 921,CHIJ St Nicholas Girls’ School,P6-2,Malay Language,94/100,96/100
2023,Mohammad Firdaus 589,Yumin Primary School,P6-2,Foundation Malay Language,76/100,76/100
2024,Vignesh S/O Rajan 228,CHIJ St Nicholas Girls’ School,P6-2,Higher Tamil Language,80/100,76/100
2022,Teo Wen Jie 877,Catholic High School (Primary),P6-1,Chinese Language,58/100,54/100
2024,Deepa D/O Muthu 101,Yumin Primary School,P6-3,Tamil Language,92/100,95/100
2024,Hafiz Bin Rahman 440,Anglo-Chinese School (Primary),P6-3,Higher Malay Language,55/100,59/100
2023,Vignesh S/O Rajan 843,CHIJ St Nicholas Girls’ School,P6-2,Tamil Language,61/100,66/100
2023,Suresh S/O Raj 286,West Grove Primary School,P6-1,Foundation Tamil Language,52/100,52/100
2022,Sivakumar Raj 289,Nanyang Primary School,P6-3,Tamil Language,89/100,85/100
2023,Vignesh S/O Rajan 345,Anglo-Chinese School (Primary),P6-3,Tamil Language,52/100,55/100
2024,Goh Jun Wei 954,St Joseph’s Institution Junior,P6-1,Foundation Chinese Language,84/100,82/100
2022,Muhd Irfan 614,Catholic High School (Primary),P6-3,Malay Language,91/100,87/100
2024,Chen Qi En 516,Gongshang Primary School,P6-2,Higher Chinese Language,68/100,70/100
2022,Lee Hui Min 698,Gongshang Primary School,P6-1,Higher Chinese Language,78/100,81/100
2023,Suresh S/O Raj 472,St Joseph’s Institution Junior,P6-2,Tamil Language,89/100,90/100
2022,Hafiz Bin Rahman 582,Yumin Primary School,P6-3,Higher Malay Language,73/100,68/100
