School,Student_ID,Name,Class,Gender,Date,Status,Reason,Absent
Kent Ridge Secondary School,S1652,Adele Lim,Sec5-3,F,2024-09-25,Absent,Truancy,1
Peicai Secondary School,S1653,Daphne Lee,Sec5-3,M,2025-09-02,Present,,0
St. Patrick's School,S1654,Aaron Tan,Sec1-4,F,2023-01-11,Absent,Truancy,1
Nan Chiau High School,S1655,Hannah Ong,Sec5-2,F,2023-02-07,Present,,0
Clementi Town Secondary School,S1656,Adele Lim,Sec3-2,F,2025-07-01,Present,,0
Hougang Secondary School,S1657,Grace Lim,Sec2-3,F,2025-03-16,Present,,0
Maris Stella High School,S1658,Hannah Ong,Sec1-1,F,2025-05-25,Absent,Medical Leave,1
Dunman High School,S1659,Ethan Ng,Sec4-1,F,2024-07-06,Late,,0
Gan Eng Seng School,S1660,Charlotte Ng,Sec1-2,M,2023-11-25,Present,,0
CHIJ Katong Convent,S1661,Benjamin Lee,Sec2-2,M,2024-04-18,Present,,0
Holy Innocents' High School,S1662,Faith Goh,Sec5-2,M,2023-07-31,Present,,0
Compassvale Secondary School,S1663,Daphne Lee,Sec1-1,F,2022-11-06,Absent,Other,1
Anderson Secondary School,S1664,Isabelle Ho,Sec3-4,F,2024-01-17,Absent,Truancy,1
Presbyterian High School,S1665,Ethan Ng,Sec2-4,F,2022-05-26,Absent,Other,1
CHIJ Katong Convent,S1666,Hannah Ong,Sec2-3,F,2022-04-23,Present,,0
Springfield Secondary School,S1667,Jasmine Tan,Sec3-1,M,2024-06-17,Late,,0
Fairfield Methodist Secondary School,S1668,Lucas Tan,Sec1-4,F,2024-05-07,Absent,Medical Leave,1
Bedok Green Secondary School,S1669,Hannah Ong,Sec5-4,F,2024-04-03,Present,,0
Peicai Secondary School,S1670,Ethan Ng,Sec2-3,M,2022-05-16,Present,,0
Cedar Girls' Secondary School,S1671,Jayden Ho,Sec1-1,M,2025-01-31,Present,,0
Gan Eng Seng School,S1672,Isabelle Ho,Sec5-4,F,2022-04-02,Absent,Truancy,1
Holy Innocents' High School,S1673,Caleb Lim,Sec1-2,F,2022-11-03,Absent,Truancy,1
Maris Stella High School,S1674,Ethan Ng,Sec2-3,M,2024-06-24,Absent,Truancy,1
Bukit Merah Secondary School,S1675,Charlotte Ng,Sec4-2,M,2022-02-14,Present,,0
Compassvale Secondary School,S1676,Gabriel Chua,Sec2-2,M,2023-08-04,Present,,0
Hougang Secondary School,S1677,Gabriel Chua,Sec4-3,F,2022-10-04,Present,,0
Hougang Secondary School,S1678,Isabelle Ho,Sec3-4,M,2023-11-28,Present,,0
Springfield Secondary School,S1679,Marcus Teo,Sec2-4,F,2025-04-24,Present,,0
Maris Stella High School,S1680,Benjamin Lee,Sec5-4,M,2024-05-21,Late,,0
Singapore Chinese Girls' School,S1681,Bella Tan,Sec2-3,M,2023-10-13,Absent,Truancy,1
Zhonghua Secondary School,S1682,Aaron Tan,Sec4-1,F,2023-04-10,Present,,0
Compassvale Secondary School,S1683,Charlotte Ng,Sec4-4,M,2022-11-07,Absent,Unknown,1
Compassvale Secondary School,S1684,Daphne Lee,Sec5-4,F,2024-03-03,Present,,0
Bukit Merah Secondary School,S1685,Gabriel Chua,Sec3-4,M,2024-06-29,Present,,0
Holy Innocents' High School,S1686,Daniel Ong,Sec5-2,F,2022-02-15,Absent,Medical Leave,1
Dunman High School,S1687,Ethan Ng,Sec4-4,M,2024-03-11,Present,,0
Anderson Secondary School,S1688,Aaron Tan,Sec4-4,M,2024-06-19,Present,,0
Bukit Merah Secondary School,S1689,Lucas Tan,Sec1-4,M,2024-03-11,Present,,0
Compassvale Secondary School,S1690,Marcus Teo,Sec1-2,M,2025-01-21,Present,,0
Jurong Secondary School,S1691,Ella Chua,Sec3-2,M,2023-08-30,Present,,0
Dunman High School,S1692,Aaron Tan,Sec3-1,M,2022-08-16,Present,,0
Dunman High School,S1693,Ella Chua,Sec4-3,F,2024-05-18,Absent,Truancy,1
Zhonghua Secondary School,S1694,Isaac Koh,Sec3-1,M,2025-03-16,Present,,0
St. Andrew's Secondary School,S1695,Charlotte Ng,Sec3-4,F,2023-01-17,Present,,0
Cedar Girls' Secondary School,S1696,Daniel Ong,Sec2-2,M,2023-06-29,Absent,Sick,1
Cedar Girls' Secondary School,S1697,Ella Chua,Sec4-3,F,2024-03-25,Present,,0
Bukit Merah Secondary School,S1698,Lucas Tan,Sec2-1,F,2022-08-15,Present,,0
Victoria School,S1699,Benjamin Lee,Sec5-1,M,2022-10-30,Present,,0
St. Patrick's School,S1700,Gabriel Chua,Sec4-4,M,2023-07-17,Present,,0
Dunman High School,S1701,Ethan Ng,Sec2-3,F,2023-12-05,Present,,0
Victoria School,S1702,Ella Chua,Sec4-4,F,2024-08-06,Present,,0
Zhonghua Secondary School,S1703,Charlotte Ng,Sec2-3,M,2024-01-09,Present,,0
Compassvale Secondary School,S1704,Jasmine Tan,Sec5-3,M,2023-12-28,Absent,Sick,1
Yishun Town Secondary School,S1705,Marcus Teo,Sec5-3,M,2025-10-05,Present,,0
Temasek Secondary School,S1706,Bella Tan,Sec2-1,M,2022-07-18,Present,,0
Hougang Secondary School,S1707,Charlotte Ng,Sec5-1,M,2022-04-20,Present,,0
Singapore Chinese Girls' School,S1708,Daniel Ong,Sec5-4,M,2022-09-26,Present,,0
Victoria School,S1709,Gabriel Chua,Sec1-1,M,2024-11-04,Present,,0
Jurong Secondary School,S1710,Benjamin Lee,Sec3-4,M,2025-05-15,Present,,0
Dunman High School,S1711,Grace Lim,Sec2-1,M,2023-11-15,Present,,0
Presbyterian High School,S1712,Ella Chua,Sec1-3,F,2025-10-15,Present,,0
Jurong Secondary School,S1713,Charlotte Ng,Sec1-2,M,2024-03-17,Present,,0
Anglican High School,S1714,Adele Lim,Sec4-4,F,2022-05-09,Present,,0
Presbyterian High School,S1715,Ethan Ng,Sec5-3,F,2025-10-07,Absent,Sick,1
Regent Secondary School,S1716,Ethan Ng,Sec2-3,M,2024-08-22,Absent,Truancy,1
Cedar Girls' Secondary School,S1717,Isabelle Ho,Sec2-3,F,2023-10-30,Absent,Truancy,1
Nan Chiau High School,S1718,Ella Chua,Sec2-3,M,2025-01-13,Present,,0
Regent Secondary School,S1719,Gabriel Chua,Sec2-2,F,2025-03-13,Present,,0
St. Patrick's School,S1720,Caleb Lim,Sec5-2,M,2023-06-13,Absent,Family Matter,1
Gan Eng Seng School,S1721,Marcus Teo,Sec5-4,F,2022-12-19,Present,,0
Peicai Secondary School,S1722,Isabelle Ho,Sec3-4,M,2024-02-02,Absent,Medical Leave,1
Gan Eng Seng School,S1723,Lucas Tan,Sec3-4,F,2025-08-19,Present,,0
CHIJ Katong Convent,S1724,Adele Lim,Sec2-2,M,2024-12-28,Present,,0
Temasek Secondary School,S1725,Ethan Ng,Sec3-4,F,2022-12-05,Present,,0
Bukit Merah Secondary School,S1726,Isabelle Ho,Sec5-1,M,2025-10-04,Present,,0
Springfield Secondary School,S1727,Caleb Lim,Sec4-3,F,2022-08-31,Present,,0
Temasek Secondary School,S1728,Isabelle Ho,Sec3-3,F,2023-10-08,Present,,0
Holy Innocents' High School,S1729,Isabelle Ho,Sec3-4,F,2024-05-29,Late,,0
Temasek Secondary School,S1730,Ethan Ng,Sec1-1,M,2023-12-24,Present,,0
Dunman High School,S1731,Jayden Ho,Sec3-2,M,2023-08-02,Present,,0
Compassvale Secondary School,S1732,Adele Lim,Sec2-4,M,2023-10-22,Present,,0
Kent Ridge Secondary School,S1733,Faith Goh,Sec4-1,M,2022-01-26,Present,,0
Holy Innocents' High School,S1734,Faith Goh,Sec1-2,F,2023-03-16,Absent,Family Matter,1
CHIJ Katong Convent,S1735,Benjamin Lee,Sec1-1,F,2024-12-10,Present,,0
Cedar Girls' Secondary School,S1736,Ethan Ng,Sec1-2,F,2023-08-27,Absent,Unknown,1
Holy Innocents' High School,S1737,Bella Tan,Sec2-1,M,2022-04-25,Present,,0
Anderson Secondary School,S1738,Jasmine Tan,Sec4-1,M,2023-01-25,Present,,0
Bedok Green Secondary School,S1739,Daphne Lee,Sec5-3,F,2022-11-11,Present,,0
Dunman High School,S1740,Jayden Ho,Sec5-1,M,2024-01-17,Absent,Unknown,1
Gan Eng Seng School,S1741,Marcus Teo,Sec1-2,M,2023-10-16,Absent,Truancy,1
Peicai Secondary School,S1742,Grace Lim,Sec5-1,F,2024-06-24,Present,,0
St. Andrew's Secondary School,S1743,Adele Lim,Sec1-4,M,2022-05-05,Present,,0
Holy Innocents' High School,S1744,Adele Lim,Sec1-2,M,2024-04-14,Present,,0
Gan Eng Seng School,S1745,Jayden Ho,Sec3-2,F,2025-09-15,Present,,0
Zhonghua Secondary School,S1746,Bella Tan,Sec5-2,M,2022-07-17,Late,,0
Fairfield Methodist Secondary School,S1747,Lucas Tan,Sec3-1,F,2025-05-07,Present,,0
Springfield Secondary School,S1748,Isaac Koh,Sec3-4,F,2024-10-13,Present,,0
Singapore Chinese Girls' School,S1749,Daphne Lee,Sec2-2,F,2023-08-07,Absent,Medical Leave,1
Victoria School,S1750,Aaron Tan,Sec5-1,F,2024-07-01,Present,,0
Anderson Secondary School,S1751,Hannah Ong,Sec1-2,F,2022-03-18,Present,,0
Cedar Girls' Secondary School,S1752,Faith Goh,Sec2-2,F,2023-11-07,Present,,0
Presbyterian High School,S1753,Isabelle Ho,Sec5-3,F,2023-10-23,Present,,0
Clementi Town Secondary School,S1754,Lucas Tan,Sec1-4,F,2023-01-15,Present,,0
Yishun Town Secondary School,S1755,Caleb Lim,Sec3-4,F,2025-04-05,Late,,0
Maris Stella High School,S1756,Faith Goh,Sec5-1,F,2023-02-27,Present,,0
Dunman High School,S1757,Adele Lim,Sec1-2,F,2024-02-01,Present,,0
Dunman High School,S1758,Adele Lim,Sec2-1,F,2025-09-20,Late,,0
Jurong Secondary School,S1759,Bella Tan,Sec2-2,M,2025-08-23,Absent,Truancy,1
St. Andrew's Secondary School,S1760,Daniel Ong,Sec5-4,M,2025-10-17,Present,,0
Clementi Town Secondary School,S1761,Hannah Ong,Sec3-1,M,2022-02-15,Late,,0
Singapore Chinese Girls' School,S1762,Marcus Teo,Sec2-3,M,2025-03-29,Present,,0
Nan Chiau High School,S1763,Caleb Lim,Sec5-3,M,2023-07-02,Present,,0
Zhonghua Secondary School,S1764,Charlotte Ng,Sec2-4,M,2022-06-20,Present,,0
Zhonghua Secondary School,S1765,Benjamin Lee,Sec2-2,M,2023-09-19,Present,,0
CHIJ Katong Convent,S1766,Adele Lim,Sec1-1,M,2024-07-13,Late,,0
Bukit Merah Secondary School,S1767,Faith Goh,Sec2-3,F,2022-11-26,Present,,0
Nan Chiau High School,S1768,Isabelle Ho,Sec1-2,M,2025-05-17,Present,,0
Compassvale Secondary School,S1769,Gabriel Chua,Sec4-2,F,2024-07-13,Present,,0
Gan Eng Seng School,S1770,Aaron Tan,Sec5-4,M,2023-08-08,Present,,0
Maris Stella High School,S1771,Jasmine Tan,Sec4-4,M,2022-12-14,Absent,Sick,1
St. Andrew's Secondary School,S1772,Aaron Tan,Sec1-4,M,2024-11-05,Present,,0
Anderson Secondary School,S1773,Adele Lim,Sec3-3,F,2022-04-28,Absent,Truancy,1
Kent Ridge Secondary School,S1774,Grace Lim,Sec2-3,M,2022-08-09,Absent,MC,1
Bedok Green Secondary School,S1775,Ethan Ng,Sec3-1,F,2022-01-30,Present,,0
Anderson Secondary School,S1776,Lucas Tan,Sec5-2,M,2024-07-19,Present,,0
Nan Chiau High School,S1777,Isaac Koh,Sec3-4,M,2023-04-17,Present,,0
Gan Eng Seng School,S1778,Isabelle Ho,Sec1-4,F,2025-07-14,Present,,0
Temasek Secondary School,S1779,Isaac Koh,Sec5-1,M,2022-06-14,Absent,Truancy,1
Clementi Town Secondary School,S1780,Caleb Lim,Sec5-4,M,2023-03-25,Absent,Truancy,1
Bukit Merah Secondary School,S1781,Lucas Tan,Sec1-2,M,2022-12-20,Absent,Family Matter,1
St. Andrew's Secondary School,S1782,Hannah Ong,Sec5-2,F,2025-02-11,Absent,Medical Leave,1
Compassvale Secondary School,S1783,Ethan Ng,Sec2-3,F,2023-01-08,Absent,MC,1
Jurong Secondary School,S1784,Isabelle Ho,Sec5-3,M,2024-04-07,Late,,0
Yishun Town Secondary School,S1785,Ethan Ng,Sec3-1,M,2024-05-31,Present,,0
Springfield Secondary School,S1786,Caleb Lim,Sec2-1,F,2025-05-18,Present,,0
Gan Eng Seng School,S1787,Isaac Koh,Sec4-4,F,2025-04-28,Present,,0
Presbyterian High School,S1788,Jayden Ho,Sec4-1,F,2022-01-11,Present,,0
Bukit Merah Secondary School,S1789,Aaron Tan,Sec4-4,F,2022-06-10,Late,,0
Temasek Secondary School,S1790,Jayden Ho,Sec2-2,M,2025-09-16,Present,,0
Peicai Secondary School,S1791,Isabelle Ho,Sec2-4,F,2023-06-27,Absent,Family Matter,1
Gan Eng Seng School,S1792,Benjamin Lee,Sec5-1,M,2024-09-06,Present,,0
Kent Ridge Secondary School,S1793,Lucas Tan,Sec5-2,F,2022-11-20,Present,,0
Fairfield Methodist Secondary School,S1794,Aaron Tan,Sec3-1,F,2022-07-10,Present,,0
Temasek Secondary School,S1795,Caleb Lim,Sec3-1,M,2022-03-29,Present,,0
Holy Innocents' High School,S1796,Isaac Koh,Sec2-1,F,2025-07-01,Present,,0
Bedok Green Secondary School,S1797,Isabelle Ho,Sec2-1,M,2022-11-03,Present,,0
Nan Chiau High School,S1798,Isabelle Ho,Sec4-2,M,2025-03-22,Absent,Truancy,1
Clementi Town Secondary School,S1799,Grace Lim,Sec3-3,M,2023-06-07,Late,,0
Springfield Secondary School,S1800,Bella Tan,Sec2-1,F,2022-12-27,Present,,0
Jurong Secondary School,S1801,Jayden Ho,Sec3-4,M,2024-03-31,Present,,0
Nan Chiau High School,S1802,Marcus Teo,Sec4-2,M,2024-09-08,Present,,0
Anderson Secondary School,S1803,Lucas Tan,Sec3-2,F,2022-01-02,Present,,0
Victoria School,S1804,Ethan Ng,Sec4-1,F,2024-11-30,Absent,Truancy,1
Springfield Secondary School,S1805,Charlotte Ng,Sec1-2,M,2023-08-31,Present,,0
Zhonghua Secondary School,S1806,Charlotte Ng,Sec2-4,M,2022-06-30,Present,,0
Holy Innocents' High School,S1807,Grace Lim,Sec2-1,M,2024-04-12,Present,,0
Regent Secondary School,S1808,Daniel Ong,Sec5-2,F,2022-05-09,Present,,0
Yishun Town Secondary School,S1809,Daphne Lee,Sec2-3,F,2022-09-21,Present,,0
CHIJ Katong Convent,S1810,Hannah Ong,Sec5-3,M,2023-01-13,Absent,Sick,1
Dunman High School,S1811,Charlotte Ng,Sec3-1,F,2024-07-11,Present,,0
CHIJ Katong Convent,S1812,Isabelle Ho,Sec1-3,M,2024-10-13,Present,,0
Regent Secondary School,S1813,Benjamin Lee,Sec1-4,M,2024-09-12,Present,,0
CHIJ Katong Convent,S1814,Aaron Tan,Sec1-4,M,2025-09-22,Present,,0
Yishun Town Secondary School,S1815,Charlotte Ng,Sec4-4,M,2025-04-30,Absent,Truancy,1
Clementi Town Secondary School,S1816,Faith Goh,Sec5-2,F,2022-05-27,Absent,Unknown,1
Anderson Secondary School,S1817,Benjamin Lee,Sec4-3,F,2024-11-25,Present,,0
Bedok Green Secondary School,S1818,Bella Tan,Sec3-2,F,2023-10-15,Present,,0
Compassvale Secondary School,S1819,Isabelle Ho,Sec5-4,M,2025-02-10,Present,,0
Bukit Merah Secondary School,S1820,Daniel Ong,Sec2-2,M,2023-08-14,Present,,0
Kent Ridge Secondary School,S1821,Charlotte Ng,Sec1-3,M,2025-09-04,Present,,0
Bedok Green Secondary School,S1822,Daniel Ong,Sec1-4,M,2022-12-22,Present,,0
Springfield Secondary School,S1823,Faith Goh,Sec3-2,M,2023-12-25,Present,,0
St. Patrick's School,S1824,Isabelle Ho,Sec4-3,F,2022-10-23,Present,,0
Bukit Merah Secondary School,S1825,Daniel Ong,Sec4-3,F,2025-07-03,Present,,0
Temasek Secondary School,S1826,Bella Tan,Sec4-4,F,2025-05-22,Present,,0
Kent Ridge Secondary School,S1827,Daphne Lee,Sec3-4,F,2025-06-04,Present,,0
Nan Chiau High School,S1828,Daphne Lee,Sec2-1,M,2023-08-16,Absent,Truancy,1
Regent Secondary School,S1829,Faith Goh,Sec1-3,F,2025-09-11,Present,,0
Gan Eng Seng School,S1830,Faith Goh,Sec3-4,M,2023-05-28,Present,,0
Cedar Girls' Secondary School,S1831,Jasmine Tan,Sec1-3,M,2023-08-12,Present,,0
Presbyterian High School,S1832,Bella Tan,Sec2-1,F,2025-10-27,Absent,Medical Leave,1
Cedar Girls' Secondary School,S1833,Aaron Tan,Sec5-4,F,2022-10-12,Present,,0
Dunman High School,S1834,Ethan Ng,Sec5-3,F,2022-11-05,Present,,0
Zhonghua Secondary School,S1835,Jayden Ho,Sec3-3,F,2023-05-30,Present,,0
Presbyterian High School,S1836,Benjamin Lee,Sec1-4,F,2025-01-18,Absent,Truancy,1
Cedar Girls' Secondary School,S1837,Jasmine Tan,Sec5-3,F,2022-02-06,Late,,0
Compassvale Secondary School,S1838,Charlotte Ng,Sec5-2,M,2024-05-02,Present,,0
Singapore Chinese Girls' School,S1839,Benjamin Lee,Sec5-4,M,2024-10-30,Present,,0
Maris Stella High School,S1840,Grace Lim,Sec2-1,M,2024-06-23,Present,,0
Holy Innocents' High School,S1841,Marcus Teo,Sec4-1,F,2023-09-10,Present,,0
Zhonghua Secondary School,S1842,Charlotte Ng,Sec2-1,F,2023-12-06,Present,,0
Hougang Secondary School,S1843,Charlotte Ng,Sec2-3,M,2025-02-20,Absent,Truancy,1
CHIJ Katong Convent,S1844,Isaac Koh,Sec5-3,M,2025-07-22,Present,,0
Fairfield Methodist Secondary School,S1845,Benjamin Lee,Sec2-3,F,2025-08-20,Present,,0
Nan Chiau High School,S1846,Jayden Ho,Sec5-1,M,2024-07-22,Present,,0
Gan Eng Seng School,S1847,Bella Tan,Sec4-3,F,2025-10-02,Present,,0
St. Andrew's Secondary School,S1848,Hannah Ong,Sec5-1,F,2025-07-11,Present,,0
Anglican High School,S1849,Adele Lim,Sec5-2,F,2023-10-24,Present,,0
Anderson Secondary School,S1850,Ella Chua,Sec5-1,F,2025-01-18,Absent,MC,1
Presbyterian High School,S1851,Daniel Ong,Sec4-1,M,2022-09-26,Present,,0
Jurong Secondary School,S1852,Marcus Teo,Sec4-1,M,2022-11-22,Late,,0
Holy Innocents' High School,S1853,Daphne Lee,Sec3-1,M,2024-12-27,Present,,0
Clementi Town Secondary School,S1854,Isaac Koh,Sec3-1,F,2024-02-26,Present,,0
St. Andrew's Secondary School,S1855,Caleb Lim,Sec3-4,F,2024-02-13,Absent,Sick,1
Gan Eng Seng School,S1856,Bella Tan,Sec4-2,M,2023-06-17,Present,,0
Dunman High School,S1857,Hannah Ong,Sec5-4,M,2022-03-05,Present,,0
Anderson Secondary School,S1858,Marcus Teo,Sec4-1,M,2025-02-10,Present,,0
St. Patrick's School,S1859,Benjamin Lee,Sec1-2,M,2025-10-07,Present,,0
Compassvale Secondary School,S1860,Caleb Lim,Sec4-3,M,2025-04-19,Present,,0
Kent Ridge Secondary School,S1861,Lucas Tan,Sec4-2,M,2022-07-07,Present,,0
Jurong Secondary School,S1862,Adele Lim,Sec3-2,M,2025-01-05,Present,,0
Presbyterian High School,S1863,Caleb Lim,Sec1-4,F,2023-09-15,Absent,Truancy,1
Zhonghua Secondary School,S1864,Daphne Lee,Sec5-1,F,2022-01-17,Present,,0
Springfield Secondary School,S1865,Caleb Lim,Sec1-4,F,2022-06-21,Late,,0
St. Andrew's Secondary School,S1866,Ethan Ng,Sec5-1,F,2023-06-09,Present,,0
St. Andrew's Secondary School,S1867,Isabelle Ho,Sec5-4,M,2022-09-25,Present,,0
Anglican High School,S1868,Aaron Tan,Sec2-1,F,2022-12-18,Present,,0
Springfield Secondary School,S1869,Charlotte Ng,Sec1-3,F,2024-08-14,Absent,Family Matter,1
Anderson Secondary School,S1870,Jayden Ho,Sec4-2,F,2025-07-17,Present,,0
Springfield Secondary School,S1871,Adele Lim,Sec2-2,F,2023-03-27,Present,,0
Anderson Secondary School,S1872,Faith Goh,Sec4-3,M,2025-06-21,Present,,0
Hougang Secondary School,S1873,Gabriel Chua,Sec1-4,M,2024-09-03,Present,,0
Nan Chiau High School,S1874,Adele Lim,Sec4-4,M,2024-09-11,Present,,0
Kent Ridge Secondary School,S1875,Grace Lim,Sec5-4,M,2024-09-21,Present,,0
Victoria School,S1876,Ethan Ng,Sec1-2,F,2022-07-25,Present,,0
Bedok Green Secondary School,S1877,Isabelle Ho,Sec2-4,F,2025-06-20,Present,,0
Gan Eng Seng School,S1878,Jasmine Tan,Sec1-3,F,2023-12-28,Present,,0
Singapore Chinese Girls' School,S1879,Ethan Ng,Sec1-3,M,2024-03-09,Present,,0
Fairfield Methodist Secondary School,S1880,Gabriel Chua,Sec1-2,M,2024-02-01,Present,,0
Holy Innocents' High School,S1881,Daniel Ong,Sec3-2,M,2025-06-22,Present,,0
Yishun Town Secondary School,S1882,Ella Chua,Sec1-1,F,2024-03-07,Absent,Other,1
Yishun Town Secondary School,S1883,Ella Chua,Sec2-4,M,2022-06-16,Absent,Medical Leave,1
Springfield Secondary School,S1884,Benjamin Lee,Sec2-3,F,2025-01-19,Present,,0
Fairfield Methodist Secondary School,S1885,Marcus Teo,Sec3-3,M,2022-01-14,Present,,0
Fairfield Methodist Secondary School,S1886,Charlotte Ng,Sec2-2,M,2023-01-17,Present,,0
Zhonghua Secondary School,S1887,Aaron Tan,Sec5-4,M,2024-05-11,Present,,0
Nan Chiau High School,S1888,Faith Goh,Sec5-3,F,2025-09-13,Present,,0
Nan Chiau High School,S1889,Marcus Teo,Sec1-3,F,2022-11-10,Absent,Truancy,1
Bedok Green Secondary School,S1890,Grace Lim,Sec2-2,M,2024-05-11,Present,,0
St. Patrick's School,S1891,Marcus Teo,Sec3-3,F,2023-09-27,Present,,0
Dunman High School,S1892,Daphne Lee,Sec3-4,M,2022-07-16,Present,,0
Clementi Town Secondary School,S1893,Bella Tan,Sec4-1,F,2024-09-30,Present,,0
Gan Eng Seng School,S1894,Isaac Koh,Sec5-4,F,2022-04-16,Absent,Truancy,1
Zhonghua Secondary School,S1895,Charlotte Ng,Sec4-4,F,2022-10-31,Absent,Unknown,1
Victoria School,S1896,Charlotte Ng,Sec4-4,F,2022-03-05,Absent,Truancy,1
Bukit Merah Secondary School,S1897,Jayden Ho,Sec3-1,F,2024-11-07,Present,,0
Anderson Secondary School,S1898,Hannah Ong,Sec2-4,F,2022-04-19,Present,,0
Presbyterian High School,S1899,Marcus Teo,Sec1-1,M,2024-01-29,Present,,0
CHIJ Katong Convent,S1900,Marcus Teo,Sec2-1,F,2025-03-01,Present,,0
Zhonghua Secondary School,S1901,Marcus Teo,Sec3-1,M,2023-09-14,Present,,0
Bedok Green Secondary School,S1902,Lucas Tan,Sec3-2,F,2022-03-02,Absent,Unknown,1
Peicai Secondary School,S1903,Jayden Ho,Sec1-2,M,2022-10-19,Absent,Family Matter,1
Anderson Secondary School,S1904,Ethan Ng,Sec5-4,M,2023-04-06,Absent,Other,1
Anderson Secondary School,S1905,Bella Tan,Sec2-4,F,2024-02-19,Absent,Other,1
Singapore Chinese Girls' School,S1906,Caleb Lim,Sec2-4,M,2022-03-13,Present,,0
Victoria School,S1907,Gabriel Chua,Sec4-2,M,2025-06-23,Present,,0
Anglican High School,S1908,Faith Goh,Sec4-4,M,2024-04-05,Absent,Truancy,1
Bedok Green Secondary School,S1909,Marcus Teo,Sec1-4,F,2022-04-27,Present,,0
Yishun Town Secondary School,S1910,Lucas Tan,Sec3-2,M,2024-07-22,Present,,0
Singapore Chinese Girls' School,S1911,Ethan Ng,Sec3-3,M,2024-05-24,Present,,0
Anglican High School,S1912,Benjamin Lee,Sec2-1,F,2023-12-12,Present,,0
Dunman High School,S1913,Ella Chua,Sec5-1,F,2023-02-18,Absent,Unknown,1
Cedar Girls' Secondary School,S1914,Ethan Ng,Sec1-1,M,2025-07-07,Present,,0
Regent Secondary School,S1915,Jasmine Tan,Sec2-4,M,2023-01-20,Absent,Unknown,1
Hougang Secondary School,S1916,Faith Goh,Sec4-1,F,2023-08-07,Present,,0
CHIJ Katong Convent,S1917,Jayden Ho,Sec2-2,M,2024-03-15,Present,,0
Presbyterian High School,S1918,Marcus Teo,Sec1-3,M,2023-06-12,Absent,Truancy,1
Dunman High School,S1919,Jasmine Tan,Sec3-2,F,2023-02-17,Present,,0
Anderson Secondary School,S1920,Faith Goh,Sec1-2,M,2022-05-12,Present,,0
Cedar Girls' Secondary School,S1921,Aaron Tan,Sec5-1,F,2023-11-11,Present,,0
Regent Secondary School,S1922,Jasmine Tan,Sec4-4,M,2022-05-17,Present,,0
Cedar Girls' Secondary School,S1923,Hannah Ong,Sec2-4,F,2023-01-19,Present,,0
Clementi Town Secondary School,S1924,Jayden Ho,Sec1-2,M,2023-10-01,Present,,0
Compassvale Secondary School,S1925,Jasmine Tan,Sec1-4,M,2025-03-04,Present,,0
Presbyterian High School,S1926,Isabelle Ho,Sec2-4,F,2025-04-14,Present,,0
Presbyterian High School,S1927,Jasmine Tan,Sec3-3,F,2024-08-15,Present,,0
Gan Eng Seng School,S1928,Jayden Ho,Sec4-4,M,2024-10-10,Present,,0
Hougang Secondary School,S1929,Jasmine Tan,Sec1-3,F,2022-07-04,Present,,0
Kent Ridge Secondary School,S1930,Lucas Tan,Sec4-1,M,2024-02-23,Present,,0
Clementi Town Secondary School,S1931,Caleb Lim,Sec1-2,M,2024-03-08,Present,,0
Clementi Town Secondary School,S1932,Benjamin Lee,Sec1-2,M,2023-06-21,Absent,Truancy,1
Victoria School,S1933,Daniel Ong,Sec2-3,M,2023-03-03,Present,,0
Zhonghua Secondary School,S1934,Jasmine Tan,Sec4-1,F,2024-12-15,Present,,0
Kent Ridge Secondary School,S1935,Benjamin Lee,Sec2-2,M,2023-07-09,Present,,0
Peicai Secondary School,S1936,Isabelle Ho,Sec2-4,M,2023-02-02,Present,,0
Springfield Secondary School,S1937,Daniel Ong,Sec2-4,M,2024-06-12,Present,,0
Anglican High School,S1938,Aaron Tan,Sec4-1,M,2022-07-26,Present,,0
Jurong Secondary School,S1939,Isaac Koh,Sec5-2,F,2025-04-10,Present,,0
Victoria School,S1940,Daphne Lee,Sec3-3,F,2024-05-06,Absent,Truancy,1
Kent Ridge Secondary School,S1941,Isaac Koh,Sec3-2,M,2023-10-20,Absent,Sick,1
CHIJ Katong Convent,S1942,Aaron Tan,Sec1-3,M,2022-12-04,Present,,0
Jurong Secondary School,S1943,Adele Lim,Sec5-3,F,2024-03-04,Absent,Medical Leave,1
Anderson Secondary School,S1944,Faith Goh,Sec2-4,F,2024-08-01,Present,,0
Springfield Secondary School,S1945,Hannah Ong,Sec2-3,F,2023-12-05,Present,,0
Presbyterian High School,S1946,Daphne Lee,Sec2-3,F,2022-11-12,Present,,0
Holy Innocents' High School,S1947,Hannah Ong,Sec1-1,M,2022-08-21,Present,,0
Maris Stella High School,S1948,Isaac Koh,Sec1-1,F,2022-12-20,Present,,0
Victoria School,S1949,Hannah Ong,Sec3-2,M,2022-01-08,Present,,0
Victoria School,S1950,Jasmine Tan,Sec5-2,M,2024-03-17,Absent,Sick,1
Holy Innocents' High School,S1951,Ella Chua,Sec1-1,M,2024-12-22,Absent,Other,1
Compassvale Secondary School,S1952,Jasmine Tan,Sec4-2,F,2022-08-01,Absent,Unknown,1
Bedok Green Secondary School,S1953,Ella Chua,Sec5-3,M,2024-04-23,Present,,0
Yishun Town Secondary School,S1954,Isaac Koh,Sec2-3,M,2024-07-18,Absent,Truancy,1
Jurong Secondary School,S1955,Hannah Ong,Sec3-4,F,2022-09-08,Late,,0
